ARTICULO;INCLUYE;DIM;POTENCIA;T_COLOR;ANGULO;FLUJO;CRI;IP;COLOR;DIMENCIONES;CUT_OUT;CATEGORIA;PRECIO;FAMILIA;ESTADO;INGRESO_APROXIMADO;DESCRIPCION;IMGPRODUCTOS ;PRODUCTOACTUALIZACION;MARCO;CANTIDAD
06.71.1107.03;LE;NULL;7W;3000K;50;496;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1107.06;LE;NULL;7W;3000K;50;496;80;20;negro tex.;60x72mm;53mm;1;2561;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1251.03;LE;TRIAC;7W;2700K;15;603;80;20;blanco tex.;90x70mm;82mm;1;2782;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1551.03;LE;DALI;7W;2700K;15;603;80;20;blanco tex.;90x70mm;82mm;1;4502;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1251.06;LE;TRIAC;7W;2700K;15;603;80;20;negro tex.;90x70mm;82mm;1;3012;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1551.06;LE;DALI;7W;2700K;15;603;80;20;negro tex.;90x70mm;82mm;1;4732;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1253.03;LE;TRIAC;7W;3000K;15;603;80;20;blanco tex.;90x70mm;82mm;1;2782;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1553.03;LE;DALI;7W;3000K;15;603;80;20;blanco tex.;90x70mm;82mm;1;4502;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1253.06;LE;TRIAC;7W;3000K;15;603;80;20;negro tex.;90x70mm;82mm;1;3012;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1553.06;LE;DALI;7W;3000K;15;603;80;20;negro tex.;90x70mm;82mm;1;4732;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1257.03;LE;TRIAC;7W;2700K;28;601;80;20;blanco tex.;90x70mm;82mm;1;2782;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1557.03;LE;DALI;7W;2700K;28;601;80;20;blanco tex.;90x70mm;82mm;1;4502;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1257.06;LE;TRIAC;7W;2700K;28;601;80;20;negro tex.;90x70mm;82mm;1;3012;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1557.06;LE;DALI;7W;2700K;28;601;80;20;negro tex.;90x70mm;82mm;1;4732;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1259.03;LE;TRIAC;7W;3000K;28;601lm;80;20;blanco tex.;90x70mm;82mm;1;2782;FEDRO;1;NULL;FEDRO R /  Con lente. E: Incluye equipo electrónico.;NULL;NULL;0;100
06.71.1559.03;LE;DALI;7W;3000K;28;601lm;80;20;blanco tex.;90x70mm;82mm;1;4502;FEDRO;1;NULL;FEDRO R /  Con lente. E: Incluye equipo electrónico.;NULL;NULL;0;100
06.71.1259.06;LE;TRIAC;7W;3000K;28;601lm;80;20;negro tex.;90x70mm;82mm;1;3012;FEDRO;1;A pedido;FEDRO R /  Con lente. E: Incluye equipo electrónico.;NULL;NULL;0;100
06.71.1559.06;LE;DALI;7W;3000K;28;601lm;80;20;negro tex.;90x70mm;82mm;1;4732;FEDRO;1;A pedido;FEDRO R /  Con lente. E: Incluye equipo electrónico.;NULL;NULL;0;100
06.71.1263.03;LE;TRIAC;7W;2700K;46;571;80;20;blanco tex.;90x70mm;82mm;1;2782;FEDRO;1;NULL;FEDRO R /  Con lente. E: Incluye equipo electrónico.;NULL;NULL;0;100
06.71.1563.03;LE;DALI;7W;2700K;46;571;80;20;blanco tex.;90x70mm;82mm;1;4502;FEDRO;1;NULL;FEDRO R /  Con lente. E: Incluye equipo electrónico.;NULL;NULL;0;100
